category,txcount_share,gas_fees_share_eth,gas_fees_eth_absolute,gas_fees_share_usd,gas_fees_usd_absolute,txcount_absolute
defi,0.520006942777271,0.561468188795304,3.38938365675936,56.15,12200.3122555485,1102513
cefi,0.0246327096310753,0.164055121253796,0.990342387835635,16.36,3553.42939766412,52226
social,0.346107351750245,0.125725517204194,0.758960207814854,12.65,2747.44942077562,733813
unlabeled,0.0315905798964149,0.0983894574059686,0.593942142376278,9.81,2132.21313139179,66978
token_transfers,0.0466335784215464,0.0233628257301906,0.141033065249034,2.34,508.391380988711,98872
utility,0.0211136837329125,0.019550247228096,0.118017885541635,1.95,422.884474714132,44765
cross_chain,0.00989204264336811,0.00743069253135268,0.0448564465926538,0.74,161.330477487613,20973
nft,2.3111147166596e-05,1.79498510978e-05,0.000108356863605549,0.0,0.387727695062321,49
