category,txcount_share,gas_fees_share_eth,gas_fees_eth_absolute,gas_fees_share_usd,gas_fees_usd_absolute,txcount_absolute
defi,0.847032781401175,0.779607212472735,3.10397964793833,77.93,7952.28315137236,1071045
unlabeled,0.0564498717641504,0.0951615108376913,0.378882324562366,9.52,971.529673812943,71379
cefi,0.0176833400950756,0.0635907388411339,0.253184367720487,6.38,650.869319350413,22360
utility,0.0154895303712948,0.0313468890458704,0.124806574474791,3.14,320.486034856017,19586
token_transfers,0.0518503053065046,0.0224291645975759,0.0893009573504546,2.24,228.976784117835,65563
cross_chain,0.0108100883613412,0.00707060950556135,0.0281513916914272,0.71,72.1377348684429,13669
nft,0.000226182257030037,0.000451473901051694,0.00179752800900209,0.05,4.6089874585756,286
social,0.000457900443427942,0.000342400798380662,0.00136325715386911,0.03,3.48973007904573,579
